freq,mag
4.677E9,8.385E-6
4.786E9,8.362E-6
4.898E9,8.340E-6
5.012E9,8.319E-6
5.129E9,8.299E-6
5.248E9,8.280E-6
5.370E9,8.261E-6
5.495E9,8.243E-6
5.623E9,8.226E-6
5.754E9,8.209E-6
5.888E9,8.194E-6
6.026E9,8.178E-6
6.166E9,8.164E-6
6.310E9,8.150E-6
6.457E9,8.137E-6
6.607E9,8.124E-6
6.761E9,8.112E-6
6.918E9,8.100E-6
7.079E9,8.088E-6
7.244E9,8.078E-6
7.413E9,8.067E-6
7.586E9,8.057E-6
7.762E9,8.048E-6
7.943E9,8.039E-6
8.128E9,8.030E-6
8.318E9,8.022E-6
8.511E9,8.014E-6
8.710E9,8.006E-6
8.913E9,7.999E-6
9.120E9,7.992E-6
9.333E9,7.985E-6
9.550E9,7.978E-6
9.772E9,7.972E-6
10.00E9,7.966E-6
