freq,v_in, v_out
338.8,1,8.70E-03
346.7,1,8.50E-03
354.8,1,8.31E-03
363.1,1,8.12E-03
371.5,1,7.93E-03
380.2,1,7.75E-03
389,1,7.58E-03
398.1,1,7.40E-03
407.4,1,7.24E-03
416.9,1,7.07E-03
426.6,1,6.91E-03
436.5,1,6.75E-03
446.7,1,6.60E-03
457.1,1,6.45E-03
467.7,1,6.30E-03
478.6,1,6.16E-03
489.8,1,6.02E-03
501.2,1,5.88E-03
512.9,1,5.75E-03
524.8,1,5.62E-03
537,1,5.49E-03
549.5,1,5.36E-03
562.3,1,5.24E-03
575.4,1,5.12E-03
588.8,1,5.01E-03
602.6,1,4.89E-03
616.6,1,4.78E-03
631,1,4.67E-03
645.7,1,4.57E-03
660.7,1,4.46E-03
676.1,1,4.36E-03
691.8,1,4.26E-03
707.9,1,4.16E-03
724.4,1,4.07E-03
741.3,1,3.98E-03
758.6,1,3.89E-03
776.2,1,3.80E-03
794.3,1,3.71E-03
812.8,1,3.63E-03
831.8,1,3.54E-03
851.1,1,3.46E-03
871,1,3.39E-03
891.3,1,3.31E-03
912,1,3.23E-03
933.3,1,3.16E-03
955,1,3.09E-03
977.2,1,3.02E-03
1.00E+03,1,2.95E-03
1.02E+03,1,2.88E-03
1.05E+03,1,2.82E-03
1.07E+03,1,2.75E-03
1.10E+03,1,2.69E-03
1.12E+03,1,2.63E-03
1.15E+03,1,2.57E-03
1.18E+03,1,2.51E-03
1.20E+03,1,2.45E-03
1.23E+03,1,2.40E-03
1.26E+03,1,2.34E-03
1.29E+03,1,2.29E-03
1.32E+03,1,2.24E-03
1.35E+03,1,2.19E-03
1.38E+03,1,2.14E-03
1.41E+03,1,2.09E-03
1.45E+03,1,2.04E-03
1.48E+03,1,1.99E-03
1.51E+03,1,1.95E-03
1.55E+03,1,1.90E-03
1.59E+03,1,1.86E-03
1.62E+03,1,1.82E-03
1.66E+03,1,1.78E-03
1.70E+03,1,1.74E-03
1.74E+03,1,1.70E-03
1.78E+03,1,1.66E-03
1.82E+03,1,1.62E-03
1.86E+03,1,1.58E-03
1.91E+03,1,1.55E-03
1.95E+03,1,1.51E-03
2.00E+03,1,1.48E-03
