freq,v_out1,v_out2,v_out3,v_out4,v_out5,v_out6,v_out7,v_out numF 73  (V),v_out numF 82  (V),v_out numF 91  (V),v_out numF 100  (V),/v_in numF 10  (V),/v_in numF 19  (V),/v_in numF 28  (V),/v_in numF 37  (V),/v_in numF 46  (V),/v_in numF 55  (V),/v_in numF 64  (V),/v_in numF 73  (V),/v_in numF 82  (V),/v_in numF 91  (V),v_in
831.8E-3,975.9E-3,953.1E-3,929.6E-3,905.5E-3,881.4E-3,857.2E-3,833.3E-3,809.8E-3,786.8E-3,764.4E-3,742.6E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
851.1E-3,975.9E-3,952.9E-3,929.1E-3,904.8E-3,880.3E-3,855.9E-3,831.7E-3,807.8E-3,784.5E-3,761.8E-3,739.8E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
871.0E-3,975.8E-3,952.7E-3,928.7E-3,904.1E-3,879.3E-3,854.5E-3,830.0E-3,805.8E-3,782.2E-3,759.1E-3,736.8E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
891.3E-3,975.7E-3,952.4E-3,928.2E-3,903.3E-3,878.2E-3,853.1E-3,828.2E-3,803.7E-3,779.7E-3,756.4E-3,733.8E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
912.0E-3,975.7E-3,952.2E-3,927.7E-3,902.5E-3,877.0E-3,851.6E-3,826.3E-3,801.5E-3,777.2E-3,753.5E-3,730.6E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
933.3E-3,975.6E-3,951.9E-3,927.1E-3,901.7E-3,875.9E-3,850.0E-3,824.4E-3,799.2E-3,774.5E-3,750.6E-3,727.4E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
955.0E-3,975.5E-3,951.7E-3,926.6E-3,900.8E-3,874.6E-3,848.4E-3,822.4E-3,796.8E-3,771.8E-3,747.5E-3,724.0E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
977.2E-3,975.4E-3,951.4E-3,926.0E-3,899.9E-3,873.3E-3,846.7E-3,820.3E-3,794.3E-3,769.0E-3,744.4E-3,720.6E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
1.000,975.3E-3,951.1E-3,925.4E-3,898.9E-3,872.0E-3,844.9E-3,818.1E-3,791.8E-3,766.1E-3,741.1E-3,717.0E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
1.023,975.2E-3,950.8E-3,924.8E-3,897.9E-3,870.5E-3,843.1E-3,815.9E-3,789.1E-3,763.0E-3,737.7E-3,713.3E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
