freq,v_out,v_in
1.230E6,3.952E-6,1.000
1.259E6,3.863E-6,1.000
1.288E6,3.776E-6,1.000
1.318E6,3.692E-6,1.000
1.349E6,3.611E-6,1.000
1.380E6,3.532E-6,1.000
1.413E6,3.456E-6,1.000
1.445E6,3.382E-6,1.000
1.479E6,3.311E-6,1.000
1.514E6,3.242E-6,1.000
1.549E6,3.175E-6,1.000
1.585E6,3.111E-6,1.000
1.622E6,3.049E-6,1.000
1.660E6,2.989E-6,1.000
1.698E6,2.931E-6,1.000
1.738E6,2.875E-6,1.000
1.778E6,2.821E-6,1.000
1.820E6,2.769E-6,1.000
1.862E6,2.719E-6,1.000
1.905E6,2.671E-6,1.000
1.950E6,2.624E-6,1.000
1.995E6,2.580E-6,1.000
2.042E6,2.536E-6,1.000
2.089E6,2.495E-6,1.000
2.138E6,2.455E-6,1.000
2.188E6,2.417E-6,1.000
2.239E6,2.380E-6,1.000
2.291E6,2.344E-6,1.000
2.344E6,2.310E-6,1.000
2.399E6,2.277E-6,1.000
2.455E6,2.246E-6,1.000
2.512E6,2.215E-6,1.000
2.570E6,2.186E-6,1.000
2.630E6,2.158E-6,1.000
2.692E6,2.132E-6,1.000
2.754E6,2.106E-6,1.000
2.818E6,2.081E-6,1.000
2.884E6,2.057E-6,1.000
2.951E6,2.035E-6,1.000
3.020E6,2.013E-6,1.000
3.090E6,1.992E-6,1.000
3.162E6,1.972E-6,1.000
3.236E6,1.953E-6,1.000
3.311E6,1.934E-6,1.000
3.388E6,1.917E-6,1.000
3.467E6,1.900E-6,1.000
3.548E6,1.883E-6,1.000
3.631E6,1.868E-6,1.000
3.715E6,1.853E-6,1.000
3.802E6,1.839E-6,1.000
3.890E6,1.825E-6,1.000
3.981E6,1.812E-6,1.000
4.074E6,1.800E-6,1.000
4.169E6,1.788E-6,1.000
4.266E6,1.776E-6,1.000
4.365E6,1.765E-6,1.000
4.467E6,1.755E-6,1.000
4.571E6,1.745E-6,1.000
4.677E6,1.735E-6,1.000
4.786E6,1.726E-6,1.000
4.898E6,1.717E-6,1.000
5.012E6,1.709E-6,1.000
5.129E6,1.701E-6,1.000
5.248E6,1.693E-6,1.000
5.370E6,1.685E-6,1.000
5.495E6,1.678E-6,1.000
5.623E6,1.672E-6,1.000
5.754E6,1.665E-6,1.000
5.888E6,1.659E-6,1.000
6.026E6,1.653E-6,1.000
6.166E6,1.648E-6,1.000
6.310E6,1.642E-6,1.000
6.457E6,1.637E-6,1.000
6.607E6,1.632E-6,1.000
6.761E6,1.627E-6,1.000
6.918E6,1.623E-6,1.000
7.079E6,1.619E-6,1.000
7.244E6,1.614E-6,1.000
7.413E6,1.610E-6,1.000
7.586E6,1.607E-6,1.000
7.762E6,1.603E-6,1.000
7.943E6,1.600E-6,1.000
8.128E6,1.596E-6,1.000
8.318E6,1.593E-6,1.000
8.511E6,1.590E-6,1.000
8.710E6,1.587E-6,1.000
8.913E6,1.585E-6,1.000
9.120E6,1.582E-6,1.000
9.333E6,1.580E-6,1.000
9.550E6,1.577E-6,1.000
9.772E6,1.575E-6,1.000
10.00E6,1.573E-6,1.000
10.23E6,1.571E-6,1.000
10.47E6,1.569E-6,1.000
10.72E6,1.567E-6,1.000
10.96E6,1.565E-6,1.000
11.22E6,1.563E-6,1.000
11.48E6,1.562E-6,1.000
11.75E6,1.560E-6,1.000
12.02E6,1.558E-6,1.000
12.30E6,1.557E-6,1.000
12.59E6,1.556E-6,1.000
12.88E6,1.554E-6,1.000
13.18E6,1.553E-6,1.000
13.49E6,1.552E-6,1.000
13.80E6,1.551E-6,1.000
14.13E6,1.549E-6,1.000
14.45E6,1.548E-6,1.000
14.79E6,1.547E-6,1.000
15.14E6,1.546E-6,1.000
15.49E6,1.545E-6,1.000
15.85E6,1.545E-6,1.000
16.22E6,1.544E-6,1.000
16.60E6,1.543E-6,1.000
16.98E6,1.542E-6,1.000
17.38E6,1.541E-6,1.000
17.78E6,1.541E-6,1.000
18.20E6,1.540E-6,1.000
18.62E6,1.539E-6,1.000
19.05E6,1.539E-6,1.000
19.50E6,1.538E-6,1.000
19.95E6,1.537E-6,1.000
20.42E6,1.537E-6,1.000
20.89E6,1.536E-6,1.000
21.38E6,1.536E-6,1.000
21.88E6,1.535E-6,1.000
22.39E6,1.535E-6,1.000
22.91E6,1.534E-6,1.000
23.44E6,1.534E-6,1.000
23.99E6,1.534E-6,1.000
24.55E6,1.533E-6,1.000
25.12E6,1.533E-6,1.000
25.70E6,1.532E-6,1.000
26.30E6,1.532E-6,1.000
26.92E6,1.532E-6,1.000
27.54E6,1.531E-6,1.000
28.18E6,1.531E-6,1.000
28.84E6,1.531E-6,1.000
29.51E6,1.530E-6,1.000
30.20E6,1.530E-6,1.000
30.90E6,1.530E-6,1.000
