freq,v_in,v_out
416.9,1.000,10.79E-3
426.6,1.000,10.54E-3
436.5,1.000,10.30E-3
446.7,1.000,10.07E-3
457.1,1.000,9.838E-3
467.7,1.000,9.614E-3
478.6,1.000,9.395E-3
489.8,1.000,9.181E-3
501.2,1.000,8.972E-3
512.9,1.000,8.768E-3
524.8,1.000,8.569E-3
537.0,1.000,8.374E-3
549.5,1.000,8.183E-3
562.3,1.000,7.997E-3
575.4,1.000,7.815E-3
588.8,1.000,7.637E-3
602.6,1.000,7.463E-3
616.6,1.000,7.293E-3
631.0,1.000,7.127E-3
645.7,1.000,6.965E-3
660.7,1.000,6.806E-3
676.1,1.000,6.652E-3
691.8,1.000,6.500E-3
707.9,1.000,6.352E-3
724.4,1.000,6.208E-3
741.3,1.000,6.066E-3
758.6,1.000,5.928E-3
776.2,1.000,5.793E-3
794.3,1.000,5.661E-3
812.8,1.000,5.533E-3
831.8,1.000,5.407E-3
851.1,1.000,5.284E-3
871.0,1.000,5.163E-3
891.3,1.000,5.046E-3
912.0,1.000,4.931E-3
933.3,1.000,4.819E-3
955.0,1.000,4.709E-3
977.2,1.000,4.602E-3
1.000E3,1.000,4.497E-3
1.023E3,1.000,4.395E-3
1.047E3,1.000,4.295E-3
1.072E3,1.000,4.197E-3
1.096E3,1.000,4.101E-3
1.122E3,1.000,4.008E-3
1.148E3,1.000,3.917E-3
1.175E3,1.000,3.828E-3
1.202E3,1.000,3.740E-3
1.230E3,1.000,3.655E-3
1.259E3,1.000,3.572E-3
1.288E3,1.000,3.491E-3
1.318E3,1.000,3.411E-3
1.349E3,1.000,3.334E-3
1.380E3,1.000,3.258E-3
1.413E3,1.000,3.184E-3
1.445E3,1.000,3.111E-3
1.479E3,1.000,3.040E-3
1.514E3,1.000,2.971E-3
1.549E3,1.000,2.904E-3
1.585E3,1.000,2.837E-3
1.622E3,1.000,2.773E-3
1.660E3,1.000,2.710E-3
1.698E3,1.000,2.648E-3
1.738E3,1.000,2.588E-3
1.778E3,1.000,2.529E-3
1.820E3,1.000,2.471E-3
1.862E3,1.000,2.415E-3
1.905E3,1.000,2.360E-3
1.950E3,1.000,2.306E-3
1.995E3,1.000,2.254E-3
2.042E3,1.000,2.203E-3
2.089E3,1.000,2.152E-3
2.138E3,1.000,2.103E-3
2.188E3,1.000,2.056E-3
2.239E3,1.000,2.009E-3
2.291E3,1.000,1.963E-3
2.344E3,1.000,1.918E-3
2.399E3,1.000,1.875E-3
2.455E3,1.000,1.832E-3
2.512E3,1.000,1.790E-3
2.570E3,1.000,1.750E-3
2.630E3,1.000,1.710E-3
2.692E3,1.000,1.671E-3
2.754E3,1.000,1.633E-3
2.818E3,1.000,1.596E-3
2.884E3,1.000,1.559E-3
2.951E3,1.000,1.524E-3
3.020E3,1.000,1.489E-3
3.090E3,1.000,1.455E-3
3.162E3,1.000,1.422E-3
3.236E3,1.000,1.390E-3
3.311E3,1.000,1.358E-3
3.388E3,1.000,1.327E-3
3.467E3,1.000,1.297E-3
3.548E3,1.000,1.267E-3
3.631E3,1.000,1.239E-3
3.715E3,1.000,1.210E-3
3.802E3,1.000,1.183E-3
3.890E3,1.000,1.156E-3
3.981E3,1.000,1.130E-3
4.074E3,1.000,1.104E-3
4.169E3,1.000,1.079E-3
4.266E3,1.000,1.054E-3
4.365E3,1.000,1.030E-3
4.467E3,1.000,1.007E-3
4.571E3,1.000,983.9E-6
4.677E3,1.000,961.5E-6
4.786E3,1.000,939.6E-6
4.898E3,1.000,918.2E-6
5.012E3,1.000,897.3E-6
5.129E3,1.000,876.9E-6
5.248E3,1.000,856.9E-6
5.370E3,1.000,837.4E-6
5.495E3,1.000,818.3E-6
5.623E3,1.000,799.7E-6
5.754E3,1.000,781.5E-6
5.888E3,1.000,763.7E-6
6.026E3,1.000,746.3E-6
6.166E3,1.000,729.3E-6
6.310E3,1.000,712.7E-6
6.457E3,1.000,696.5E-6
6.607E3,1.000,680.7E-6
6.761E3,1.000,665.2E-6
6.918E3,1.000,650.0E-6
7.079E3,1.000,635.2E-6
7.244E3,1.000,620.8E-6
7.413E3,1.000,606.6E-6
7.586E3,1.000,592.8E-6
7.762E3,1.000,579.3E-6
7.943E3,1.000,566.1E-6
8.128E3,1.000,553.3E-6
8.318E3,1.000,540.7E-6
8.511E3,1.000,528.3E-6
8.710E3,1.000,516.3E-6
8.913E3,1.000,504.6E-6
9.120E3,1.000,493.1E-6
9.333E3,1.000,481.9E-6
9.550E3,1.000,470.9E-6
9.772E3,1.000,460.2E-6
10.00E3,1.000,449.7E-6
10.23E3,1.000,439.5E-6
10.47E3,1.000,429.5E-6
10.72E3,1.000,419.7E-6
10.96E3,1.000,410.1E-6
11.22E3,1.000,400.8E-6
11.48E3,1.000,391.7E-6
11.75E3,1.000,382.7E-6
12.02E3,1.000,374.0E-6
12.30E3,1.000,365.5E-6
12.59E3,1.000,357.2E-6
12.88E3,1.000,349.1E-6
13.18E3,1.000,341.1E-6
13.49E3,1.000,333.4E-6
13.80E3,1.000,325.8E-6
14.13E3,1.000,318.3E-6
14.45E3,1.000,311.1E-6
14.79E3,1.000,304.0E-6
15.14E3,1.000,297.1E-6
15.49E3,1.000,290.3E-6
15.85E3,1.000,283.7E-6
16.22E3,1.000,277.3E-6
16.60E3,1.000,270.9E-6
16.98E3,1.000,264.8E-6
17.38E3,1.000,258.8E-6
17.78E3,1.000,252.9E-6
18.20E3,1.000,247.1E-6
18.62E3,1.000,241.5E-6
19.05E3,1.000,236.0E-6
19.50E3,1.000,230.6E-6
19.95E3,1.000,225.4E-6
20.42E3,1.000,220.2E-6
20.89E3,1.000,215.2E-6
21.38E3,1.000,210.3E-6
21.88E3,1.000,205.5E-6
22.39E3,1.000,200.8E-6
22.91E3,1.000,196.3E-6
23.44E3,1.000,191.8E-6
23.99E3,1.000,187.4E-6
24.55E3,1.000,183.2E-6
25.12E3,1.000,179.0E-6
25.70E3,1.000,174.9E-6
26.30E3,1.000,170.9E-6
26.92E3,1.000,167.0E-6
27.54E3,1.000,163.2E-6
28.18E3,1.000,159.5E-6
28.84E3,1.000,155.9E-6
29.51E3,1.000,152.3E-6
30.20E3,1.000,148.9E-6
30.90E3,1.000,145.5E-6
31.62E3,1.000,142.2E-6
32.36E3,1.000,138.9E-6
33.11E3,1.000,135.8E-6
33.88E3,1.000,132.7E-6
34.67E3,1.000,129.6E-6
35.48E3,1.000,126.7E-6
