freq,v_out1,v_out2,v_out3,v_in
120.2,20.77E-3,10.23E-3,4.327E-3,1.000
123.0,20.30E-3,9.994E-3,4.228E-3,1.000
125.9,19.84E-3,9.766E-3,4.132E-3,1.000
128.8,19.39E-3,9.544E-3,4.038E-3,1.000
131.8,18.95E-3,9.327E-3,3.946E-3,1.000
134.9,18.51E-3,9.114E-3,3.856E-3,1.000
138.0,18.09E-3,8.907E-3,3.768E-3,1.000
141.3,17.68E-3,8.704E-3,3.683E-3,1.000
144.5,17.28E-3,8.506E-3,3.599E-3,1.000
147.9,16.89E-3,8.313E-3,3.517E-3,1.000
151.4,16.50E-3,8.123E-3,3.437E-3,1.000
154.9,16.13E-3,7.938E-3,3.359E-3,1.000
158.5,15.76E-3,7.758E-3,3.282E-3,1.000
162.2,15.40E-3,7.581E-3,3.207E-3,1.000
166.0,15.05E-3,7.409E-3,3.134E-3,1.000
169.8,14.71E-3,7.240E-3,3.063E-3,1.000
173.8,14.37E-3,7.075E-3,2.993E-3,1.000
177.8,14.05E-3,6.914E-3,2.925E-3,1.000
182.0,13.73E-3,6.757E-3,2.859E-3,1.000
186.2,13.41E-3,6.603E-3,2.794E-3,1.000
190.5,13.11E-3,6.453E-3,2.730E-3,1.000
195.0,12.81E-3,6.306E-3,2.668E-3,1.000
199.5,12.52E-3,6.162E-3,2.607E-3,1.000
204.2,12.23E-3,6.022E-3,2.548E-3,1.000
208.9,11.96E-3,5.885E-3,2.490E-3,1.000
213.8,11.68E-3,5.751E-3,2.433E-3,1.000
218.8,11.42E-3,5.620E-3,2.378E-3,1.000
223.9,11.16E-3,5.492E-3,2.324E-3,1.000
229.1,10.90E-3,5.367E-3,2.271E-3,1.000
234.4,10.66E-3,5.245E-3,2.219E-3,1.000
239.9,10.41E-3,5.126E-3,2.168E-3,1.000
245.5,10.18E-3,5.009E-3,2.119E-3,1.000
251.2,9.944E-3,4.895E-3,2.071E-3,1.000
257.0,9.718E-3,4.784E-3,2.024E-3,1.000
263.0,9.496E-3,4.675E-3,1.978E-3,1.000
269.2,9.280E-3,4.568E-3,1.933E-3,1.000
275.4,9.069E-3,4.464E-3,1.889E-3,1.000
281.8,8.863E-3,4.363E-3,1.846E-3,1.000
288.4,8.661E-3,4.263E-3,1.804E-3,1.000
295.1,8.464E-3,4.166E-3,1.763E-3,1.000
302.0,8.271E-3,4.071E-3,1.722E-3,1.000
309.0,8.083E-3,3.979E-3,1.683E-3,1.000
316.2,7.899E-3,3.888E-3,1.645E-3,1.000
323.6,7.719E-3,3.800E-3,1.608E-3,1.000
331.1,7.543E-3,3.713E-3,1.571E-3,1.000
338.8,7.372E-3,3.629E-3,1.535E-3,1.000
346.7,7.204E-3,3.546E-3,1.500E-3,1.000
354.8,7.040E-3,3.465E-3,1.466E-3,1.000
363.1,6.880E-3,3.387E-3,1.433E-3,1.000
371.5,6.723E-3,3.309E-3,1.400E-3,1.000
380.2,6.570E-3,3.234E-3,1.368E-3,1.000
389.0,6.421E-3,3.160E-3,1.337E-3,1.000
398.1,6.274E-3,3.089E-3,1.307E-3,1.000
407.4,6.132E-3,3.018E-3,1.277E-3,1.000
416.9,5.992E-3,2.950E-3,1.248E-3,1.000
426.6,5.856E-3,2.882E-3,1.219E-3,1.000
436.5,5.722E-3,2.817E-3,1.192E-3,1.000
446.7,5.592E-3,2.753E-3,1.165E-3,1.000
457.1,5.465E-3,2.690E-3,1.138E-3,1.000
467.7,5.340E-3,2.629E-3,1.112E-3,1.000
478.6,5.219E-3,2.569E-3,1.087E-3,1.000
489.8,5.100E-3,2.510E-3,1.062E-3,1.000
501.2,4.984E-3,2.453E-3,1.038E-3,1.000
512.9,4.871E-3,2.397E-3,1.014E-3,1.000
524.8,4.760E-3,2.343E-3,991.2E-6,1.000
537.0,4.651E-3,2.290E-3,968.6E-6,1.000
549.5,4.545E-3,2.237E-3,946.6E-6,1.000
562.3,4.442E-3,2.187E-3,925.0E-6,1.000
575.4,4.341E-3,2.137E-3,904.0E-6,1.000
588.8,4.242E-3,2.088E-3,883.4E-6,1.000
602.6,4.146E-3,2.041E-3,863.3E-6,1.000
616.6,4.051E-3,1.994E-3,843.6E-6,1.000
631.0,3.959E-3,1.949E-3,824.4E-6,1.000
645.7,3.869E-3,1.904E-3,805.7E-6,1.000
660.7,3.781E-3,1.861E-3,787.3E-6,1.000
676.1,3.695E-3,1.819E-3,769.4E-6,1.000
691.8,3.611E-3,1.777E-3,751.9E-6,1.000
707.9,3.528E-3,1.737E-3,734.8E-6,1.000
724.4,3.448E-3,1.697E-3,718.1E-6,1.000
741.3,3.370E-3,1.659E-3,701.7E-6,1.000
758.6,3.293E-3,1.621E-3,685.7E-6,1.000
776.2,3.218E-3,1.584E-3,670.1E-6,1.000
794.3,3.145E-3,1.548E-3,654.9E-6,1.000
812.8,3.073E-3,1.513E-3,640.0E-6,1.000
831.8,3.003E-3,1.478E-3,625.4E-6,1.000
851.1,2.935E-3,1.445E-3,611.2E-6,1.000
871.0,2.868E-3,1.412E-3,597.3E-6,1.000
891.3,2.803E-3,1.380E-3,583.7E-6,1.000
912.0,2.739E-3,1.348E-3,570.4E-6,1.000
933.3,2.677E-3,1.318E-3,557.4E-6,1.000
955.0,2.616E-3,1.288E-3,544.7E-6,1.000
977.2,2.556E-3,1.258E-3,532.3E-6,1.000
1.000E3,2.498E-3,1.230E-3,520.2E-6,1.000
1.023E3,2.441E-3,1.202E-3,508.3E-6,1.000
1.047E3,2.386E-3,1.174E-3,496.8E-6,1.000
1.072E3,2.331E-3,1.148E-3,485.5E-6,1.000
1.096E3,2.278E-3,1.121E-3,474.4E-6,1.000
1.122E3,2.226E-3,1.096E-3,463.6E-6,1.000
1.148E3,2.176E-3,1.071E-3,453.1E-6,1.000
1.175E3,2.126E-3,1.047E-3,442.7E-6,1.000
1.202E3,2.078E-3,1.023E-3,432.7E-6,1.000
1.230E3,2.030E-3,999.4E-6,422.8E-6,1.000
1.259E3,1.984E-3,976.7E-6,413.2E-6,1.000
1.288E3,1.939E-3,954.5E-6,403.8E-6,1.000
1.318E3,1.895E-3,932.7E-6,394.6E-6,1.000
1.349E3,1.852E-3,911.5E-6,385.6E-6,1.000
1.380E3,1.810E-3,890.7E-6,376.8E-6,1.000
1.413E3,1.768E-3,870.5E-6,368.3E-6,1.000
1.445E3,1.728E-3,850.7E-6,359.9E-6,1.000
1.479E3,1.689E-3,831.3E-6,351.7E-6,1.000
1.514E3,1.650E-3,812.4E-6,343.7E-6,1.000
1.549E3,1.613E-3,793.9E-6,335.9E-6,1.000
1.585E3,1.576E-3,775.8E-6,328.2E-6,1.000
