time,v_out,v_in
5.144,894.6E-3,900.0E-3
5.155,896.2E-3,900.0E-3
5.166,897.5E-3,900.0E-3
5.178,898.5E-3,900.0E-3
5.193,899.1E-3,900.0E-3
5.209,899.5E-3,900.0E-3
5.228,899.8E-3,900.0E-3
5.251,899.9E-3,900.0E-3
5.280,900.0E-3,900.0E-3
5.316,900.0E-3,900.0E-3
5.366,900.0E-3,900.0E-3
5.436,900.0E-3,900.0E-3
5.506,900.0E-3,900.0E-3
5.576,900.0E-3,900.0E-3
5.646,900.0E-3,900.0E-3
5.716,900.0E-3,900.0E-3
5.786,900.0E-3,900.0E-3
5.856,900.0E-3,900.0E-3
5.926,900.0E-3,900.0E-3
5.996,900.0E-3,900.0E-3
6.000,900.0E-3,900.0E-3
6.000,900.0E-3,898.5E-3
6.000,900.0E-3,895.5E-3
6.000,900.0E-3,889.4E-3
6.000,900.0E-3,877.4E-3
6.000,900.0E-3,853.2E-3
6.000,900.0E-3,805.0E-3
6.000,900.0E-3,708.4E-3
6.000,900.0E-3,515.4E-3
6.000,900.0E-3,257.7E-3
6.000,900.0E-3,0.000
6.000,900.0E-3,0.000
6.000,900.0E-3,0.000
6.000,900.0E-3,0.000
6.000,900.0E-3,0.000
6.000,900.0E-3,0.000
6.000,900.0E-3,0.000
6.000,900.0E-3,0.000
6.000,900.0E-3,0.000
6.000,900.0E-3,0.000
6.000,900.1E-3,0.000
6.000,900.1E-3,0.000
6.000,900.2E-3,0.000
6.000,900.4E-3,0.000
6.000,900.8E-3,0.000
6.000,901.7E-3,0.000
6.000,903.3E-3,0.000
6.000,906.6E-3,0.000
6.000,913.2E-3,0.000
6.001,926.2E-3,0.000
6.002,951.7E-3,0.000
6.004,1.000,0.000
6.006,1.061,0.000
6.008,1.118,0.000
6.011,1.171,0.000
6.013,1.220,0.000
6.016,1.265,0.000
6.018,1.308,0.000
6.021,1.348,0.000
6.023,1.386,0.000
6.026,1.422,0.000
6.029,1.455,0.000
6.032,1.486,0.000
6.035,1.515,0.000
6.038,1.541,0.000
6.041,1.566,0.000
6.045,1.589,0.000
6.048,1.610,0.000
6.052,1.630,0.000
6.056,1.648,0.000
6.060,1.664,0.000
6.064,1.679,0.000
6.068,1.692,0.000
6.072,1.704,0.000
6.077,1.714,0.000
6.082,1.724,0.000
6.087,1.732,0.000
6.093,1.740,0.000
6.099,1.746,0.000
6.105,1.752,0.000
6.112,1.756,0.000
6.119,1.760,0.000
6.127,1.764,0.000
6.135,1.766,0.000
6.144,1.768,0.000
6.155,1.770,0.000
6.166,1.771,0.000
