freq,v_in,v_out
19.50E3,1.000,2.310E-3
19.95E3,1.000,2.310E-3
20.42E3,1.000,2.310E-3
20.89E3,1.000,2.309E-3
21.38E3,1.000,2.309E-3
21.88E3,1.000,2.309E-3
22.39E3,1.000,2.309E-3
22.91E3,1.000,2.309E-3
23.44E3,1.000,2.309E-3
23.99E3,1.000,2.309E-3
24.55E3,1.000,2.309E-3
25.12E3,1.000,2.309E-3
25.70E3,1.000,2.309E-3
26.30E3,1.000,2.309E-3
26.92E3,1.000,2.308E-3
27.54E3,1.000,2.308E-3
28.18E3,1.000,2.308E-3
28.84E3,1.000,2.308E-3
29.51E3,1.000,2.308E-3
30.20E3,1.000,2.308E-3
30.90E3,1.000,2.308E-3
31.62E3,1.000,2.307E-3
32.36E3,1.000,2.307E-3
33.11E3,1.000,2.307E-3
33.88E3,1.000,2.307E-3
34.67E3,1.000,2.307E-3
35.48E3,1.000,2.306E-3
36.31E3,1.000,2.306E-3
37.15E3,1.000,2.306E-3
38.02E3,1.000,2.306E-3
38.90E3,1.000,2.306E-3
39.81E3,1.000,2.305E-3
40.74E3,1.000,2.305E-3
41.69E3,1.000,2.305E-3
42.66E3,1.000,2.304E-3
43.65E3,1.000,2.304E-3
44.67E3,1.000,2.304E-3
45.71E3,1.000,2.303E-3
46.77E3,1.000,2.303E-3
47.86E3,1.000,2.303E-3
48.98E3,1.000,2.302E-3
50.12E3,1.000,2.302E-3
51.29E3,1.000,2.302E-3
52.48E3,1.000,2.301E-3
53.70E3,1.000,2.301E-3
54.95E3,1.000,2.300E-3
56.23E3,1.000,2.300E-3
57.54E3,1.000,2.299E-3
58.88E3,1.000,2.298E-3
60.26E3,1.000,2.298E-3
61.66E3,1.000,2.297E-3
63.10E3,1.000,2.297E-3
64.57E3,1.000,2.296E-3
66.07E3,1.000,2.295E-3
67.61E3,1.000,2.295E-3
69.18E3,1.000,2.294E-3
70.79E3,1.000,2.293E-3
72.44E3,1.000,2.292E-3
74.13E3,1.000,2.291E-3
75.86E3,1.000,2.290E-3
77.62E3,1.000,2.289E-3
79.43E3,1.000,2.288E-3
81.28E3,1.000,2.287E-3
83.18E3,1.000,2.286E-3
85.11E3,1.000,2.285E-3
87.10E3,1.000,2.284E-3
89.13E3,1.000,2.283E-3
91.20E3,1.000,2.281E-3
93.33E3,1.000,2.280E-3
95.50E3,1.000,2.279E-3
97.72E3,1.000,2.277E-3
100.0E3,1.000,2.275E-3
102.3E3,1.000,2.274E-3
104.7E3,1.000,2.272E-3
107.2E3,1.000,2.270E-3
109.6E3,1.000,2.268E-3
112.2E3,1.000,2.267E-3
114.8E3,1.000,2.264E-3
117.5E3,1.000,2.262E-3
120.2E3,1.000,2.260E-3
123.0E3,1.000,2.258E-3
125.9E3,1.000,2.255E-3
128.8E3,1.000,2.253E-3
131.8E3,1.000,2.250E-3
134.9E3,1.000,2.248E-3
138.0E3,1.000,2.245E-3
141.3E3,1.000,2.242E-3
144.5E3,1.000,2.239E-3
147.9E3,1.000,2.235E-3
151.4E3,1.000,2.232E-3
154.9E3,1.000,2.228E-3
158.5E3,1.000,2.225E-3
162.2E3,1.000,2.221E-3
166.0E3,1.000,2.217E-3
169.8E3,1.000,2.213E-3
173.8E3,1.000,2.208E-3
