time,v_out,v_in
5.000,23.98E-3,900.0E-3
5.000,24.40E-3,900.0E-3
5.000,25.22E-3,900.0E-3
5.000,26.87E-3,900.0E-3
5.000,30.16E-3,900.0E-3
5.000,36.70E-3,900.0E-3
5.001,49.64E-3,900.0E-3
5.002,74.93E-3,900.0E-3
5.004,123.3E-3,900.0E-3
5.006,184.7E-3,900.0E-3
5.008,241.5E-3,900.0E-3
5.011,294.2E-3,900.0E-3
5.013,343.3E-3,900.0E-3
5.016,389.0E-3,900.0E-3
5.018,432.0E-3,900.0E-3
5.021,472.3E-3,900.0E-3
5.024,510.2E-3,900.0E-3
5.026,545.8E-3,900.0E-3
5.029,579.0E-3,900.0E-3
5.032,610.1E-3,900.0E-3
5.035,639.0E-3,900.0E-3
5.038,665.9E-3,900.0E-3
5.042,690.8E-3,900.0E-3
5.045,713.8E-3,900.0E-3
5.049,735.0E-3,900.0E-3
5.052,754.4E-3,900.0E-3
5.056,772.2E-3,900.0E-3
5.060,788.5E-3,900.0E-3
5.064,803.2E-3,900.0E-3
5.068,816.5E-3,900.0E-3
5.073,828.5E-3,900.0E-3
5.078,839.2E-3,900.0E-3
5.083,848.7E-3,900.0E-3
5.088,857.1E-3,900.0E-3
5.094,864.5E-3,900.0E-3
5.099,870.9E-3,900.0E-3
5.106,876.4E-3,900.0E-3
5.112,881.1E-3,900.0E-3
5.120,885.1E-3,900.0E-3
5.128,888.4E-3,900.0E-3
5.136,891.1E-3,900.0E-3
5.145,893.2E-3,900.0E-3
5.155,894.9E-3,900.0E-3
5.167,896.2E-3,900.0E-3
5.179,897.2E-3,900.0E-3
5.194,897.8E-3,900.0E-3
5.210,898.3E-3,900.0E-3
5.229,898.5E-3,900.0E-3
5.253,898.7E-3,900.0E-3
5.281,898.7E-3,900.0E-3
5.318,898.7E-3,900.0E-3
5.368,898.7E-3,900.0E-3
5.438,898.7E-3,900.0E-3
5.508,898.7E-3,900.0E-3
5.578,898.7E-3,900.0E-3
5.648,898.7E-3,900.0E-3
5.718,898.7E-3,900.0E-3
5.788,898.7E-3,900.0E-3
5.858,898.7E-3,900.0E-3
5.928,898.7E-3,900.0E-3
5.998,898.7E-3,900.0E-3
6.000,898.7E-3,900.0E-3
6.000,898.7E-3,898.5E-3
6.000,898.7E-3,895.5E-3
6.000,898.7E-3,889.4E-3
6.000,898.7E-3,877.4E-3
6.000,898.7E-3,853.2E-3
6.000,898.7E-3,805.0E-3
6.000,898.7E-3,708.4E-3
6.000,898.7E-3,515.4E-3
6.000,898.7E-3,257.7E-3
6.000,898.7E-3,0.000
6.000,898.7E-3,0.000
6.000,898.7E-3,0.000
6.000,898.7E-3,0.000
6.000,898.7E-3,0.000
6.000,898.7E-3,0.000
6.000,898.7E-3,0.000
6.000,898.7E-3,0.000
6.000,898.7E-3,0.000
6.000,898.8E-3,0.000
6.000,898.8E-3,0.000
6.000,898.8E-3,0.000
6.000,898.9E-3,0.000
6.000,899.1E-3,0.000
6.000,899.6E-3,0.000
6.000,900.4E-3,0.000
