freq, v_out
2.344E6,1.340E-6
2.399E6,1.322E-6
2.455E6,1.305E-6
2.512E6,1.289E-6
2.570E6,1.273E-6
2.630E6,1.258E-6
2.692E6,1.243E-6
2.754E6,1.229E-6
2.818E6,1.216E-6
2.884E6,1.203E-6
2.951E6,1.191E-6
3.020E6,1.179E-6
3.090E6,1.168E-6
3.162E6,1.157E-6
3.236E6,1.146E-6
3.311E6,1.136E-6
3.388E6,1.127E-6
3.467E6,1.118E-6
3.548E6,1.109E-6
3.631E6,1.100E-6
3.715E6,1.092E-6
3.802E6,1.085E-6
3.890E6,1.077E-6
3.981E6,1.070E-6
4.074E6,1.064E-6
4.169E6,1.057E-6
4.266E6,1.051E-6
4.365E6,1.045E-6
4.467E6,1.039E-6
4.571E6,1.034E-6
4.677E6,1.029E-6
4.786E6,1.024E-6
4.898E6,1.019E-6
5.012E6,1.014E-6
5.129E6,1.010E-6
5.248E6,1.006E-6
5.370E6,1.002E-6
5.495E6,998.0E-9
5.623E6,994.3E-9
5.754E6,990.8E-9
5.888E6,987.5E-9
6.026E6,984.3E-9
6.166E6,981.3E-9
6.310E6,978.4E-9
6.457E6,975.6E-9
6.607E6,972.9E-9
6.761E6,970.4E-9
6.918E6,967.9E-9
7.079E6,965.6E-9
7.244E6,963.4E-9
7.413E6,961.3E-9
7.586E6,959.2E-9
7.762E6,957.3E-9
7.943E6,955.5E-9
8.128E6,953.7E-9
8.318E6,952.0E-9
8.511E6,950.4E-9
8.710E6,948.8E-9
8.913E6,947.4E-9
9.120E6,945.9E-9
9.333E6,944.6E-9
9.550E6,943.3E-9
9.772E6,942.1E-9
10.00E6,940.9E-9
10.23E6,939.8E-9
10.47E6,938.7E-9
10.72E6,937.7E-9
10.96E6,936.7E-9
11.22E6,935.8E-9
11.48E6,934.9E-9
11.75E6,934.0E-9
12.02E6,933.2E-9
12.30E6,932.4E-9
12.59E6,931.7E-9
12.88E6,931.0E-9
13.18E6,930.3E-9
13.49E6,929.6E-9
13.80E6,929.0E-9
14.13E6,928.4E-9
14.45E6,927.9E-9
14.79E6,927.3E-9
15.14E6,926.8E-9
15.49E6,926.3E-9
15.85E6,925.8E-9
16.22E6,925.4E-9
16.60E6,925.0E-9
16.98E6,924.5E-9
17.38E6,924.2E-9
17.78E6,923.8E-9
18.20E6,923.4E-9
18.62E6,923.1E-9
19.05E6,922.8E-9
19.50E6,922.4E-9
19.95E6,922.1E-9
20.42E6,921.9E-9
20.89E6,921.6E-9
21.38E6,921.3E-9
21.88E6,921.1E-9
22.39E6,920.8E-9
22.91E6,920.6E-9
23.44E6,920.4E-9
23.99E6,920.2E-9
24.55E6,920.0E-9
25.12E6,919.8E-9
25.70E6,919.6E-9
26.30E6,919.5E-9
26.92E6,919.3E-9
27.54E6,919.1E-9
28.18E6,919.0E-9
28.84E6,918.9E-9
29.51E6,918.7E-9
30.20E6,918.6E-9
30.90E6,918.5E-9
31.62E6,918.3E-9
32.36E6,918.2E-9
33.11E6,918.1E-9
33.88E6,918.0E-9
34.67E6,917.9E-9
35.48E6,917.8E-9
36.31E6,917.7E-9
37.15E6,917.7E-9
38.02E6,917.6E-9
38.90E6,917.5E-9
39.81E6,917.4E-9
40.74E6,917.3E-9
41.69E6,917.3E-9
42.66E6,917.2E-9
43.65E6,917.1E-9
44.67E6,917.1E-9
45.71E6,917.0E-9
46.77E6,917.0E-9
47.86E6,916.9E-9
48.98E6,916.9E-9
50.12E6,916.8E-9
51.29E6,916.8E-9
52.48E6,916.7E-9
53.70E6,916.7E-9
54.95E6,916.7E-9
56.23E6,916.6E-9
57.54E6,916.6E-9
58.88E6,916.6E-9
60.26E6,916.5E-9
61.66E6,916.5E-9
63.10E6,916.5E-9
64.57E6,916.4E-9
