freq,v_out,v_in
199.5E3,26.57E-6,1.000
204.2E3,25.96E-6,1.000
208.9E3,25.36E-6,1.000
213.8E3,24.78E-6,1.000
218.8E3,24.20E-6,1.000
223.9E3,23.65E-6,1.000
229.1E3,23.10E-6,1.000
234.4E3,22.56E-6,1.000
239.9E3,22.04E-6,1.000
245.5E3,21.53E-6,1.000
251.2E3,21.03E-6,1.000
257.0E3,20.54E-6,1.000
263.0E3,20.07E-6,1.000
269.2E3,19.60E-6,1.000
275.4E3,19.14E-6,1.000
281.8E3,18.70E-6,1.000
288.4E3,18.26E-6,1.000
295.1E3,17.84E-6,1.000
302.0E3,17.42E-6,1.000
309.0E3,17.01E-6,1.000
316.2E3,16.62E-6,1.000
323.6E3,16.23E-6,1.000
331.1E3,15.85E-6,1.000
338.8E3,15.48E-6,1.000
346.7E3,15.11E-6,1.000
354.8E3,14.76E-6,1.000
363.1E3,14.41E-6,1.000
371.5E3,14.07E-6,1.000
380.2E3,13.74E-6,1.000
389.0E3,13.41E-6,1.000
398.1E3,13.10E-6,1.000
407.4E3,12.79E-6,1.000
416.9E3,12.48E-6,1.000
426.6E3,12.19E-6,1.000
436.5E3,11.90E-6,1.000
446.7E3,11.62E-6,1.000
457.1E3,11.34E-6,1.000
467.7E3,11.07E-6,1.000
478.6E3,10.81E-6,1.000
489.8E3,10.55E-6,1.000
501.2E3,10.30E-6,1.000
512.9E3,10.05E-6,1.000
524.8E3,9.809E-6,1.000
537.0E3,9.574E-6,1.000
549.5E3,9.344E-6,1.000
562.3E3,9.120E-6,1.000
575.4E3,8.901E-6,1.000
588.8E3,8.687E-6,1.000
602.6E3,8.478E-6,1.000
616.6E3,8.274E-6,1.000
631.0E3,8.075E-6,1.000
645.7E3,7.880E-6,1.000
660.7E3,7.691E-6,1.000
676.1E3,7.506E-6,1.000
691.8E3,7.325E-6,1.000
707.9E3,7.149E-6,1.000
724.4E3,6.977E-6,1.000
741.3E3,6.809E-6,1.000
758.6E3,6.646E-6,1.000
776.2E3,6.487E-6,1.000
794.3E3,6.331E-6,1.000
812.8E3,6.180E-6,1.000
831.8E3,6.033E-6,1.000
851.1E3,5.889E-6,1.000
871.0E3,5.749E-6,1.000
891.3E3,5.613E-6,1.000
912.0E3,5.481E-6,1.000
933.3E3,5.352E-6,1.000
955.0E3,5.227E-6,1.000
977.2E3,5.105E-6,1.000
1.000E6,4.986E-6,1.000
1.023E6,4.871E-6,1.000
1.047E6,4.759E-6,1.000
1.072E6,4.651E-6,1.000
1.096E6,4.545E-6,1.000
1.122E6,4.443E-6,1.000
1.148E6,4.343E-6,1.000
1.175E6,4.247E-6,1.000
1.202E6,4.154E-6,1.000
1.230E6,4.063E-6,1.000
1.259E6,3.975E-6,1.000
1.288E6,3.890E-6,1.000
1.318E6,3.808E-6,1.000
1.349E6,3.728E-6,1.000
1.380E6,3.651E-6,1.000
1.413E6,3.576E-6,1.000
1.445E6,3.504E-6,1.000
1.479E6,3.434E-6,1.000
1.514E6,3.366E-6,1.000
1.549E6,3.301E-6,1.000
1.585E6,3.238E-6,1.000
1.622E6,3.177E-6,1.000
1.660E6,3.118E-6,1.000
